X38/06,err[X],Y07/06,err[Y],Sample,Apatite,1777,1132,R No.,Hide?
0.09,25.3,0.9,9.1,SF3,AP1-1,,,1,
0.39,9.6,0.7,8.1,SF3,AP2-1,X,X,2,
0.13,11,0.8,3.9,SF3,AP4-1,X,X,3,
1.18,6.7,0.7,7.8,SF3,AP11-1,,,4,
2.34,6,0.3,7.2,SF3,AP12-1,,X,5,X
0.1,15.5,0.9,3.3,SF3,AP13-1,,,6,
0.06,14.5,0.8,2.5,SF3,AP16-1,X,X,7,
0.09,21.2,0.9,5.9,SF3,AP20-1,,,8,
0.08,13.8,0.9,6.3,SF3,AP22-1,,,9,
0.08,9.8,0.9,3.9,SF3,AP24-1,,,10,
0.38,16.8,0.8,5.8,SF3,AP25-1,,,11,
1.52,17.5,0.5,6.4,SF3,AP27-1,,X,12,
0.02,28.8,0.8,5.4,SF3,AP28-1,X,X,13,X
0.36,20.6,0.8,12.5,SF3,??,,,14,
0.01,31.9,0.8,4.1,SF4,AP3-1,X,X,15,
0.06,20.3,0.9,7.2,SF4,AP6-1,,,16,
0.53,7.8,0.8,5,SF4,AP6-2,,,17,
0.12,21.6,0.7,6.9,SF4,AP6-3,X,X,18,
0.04,11.8,0.9,5.7,SF4,AP7-2,,,19,
0.08,21.5,0.9,12,SF4,AP7-3,,,20,
1.63,14,0.7,8.3,SF4,??,X,,21,
0.03,28.3,0.9,7.3,SF4,AP9-1,,,22,
0.14,12.5,0.9,6.8,SF4,AP9-2,,,23,
0.05,25,0.9,6.1,SF4,AP10_1,,,24,
0.09,10.6,0.9,4.8,SF4,AP11_1,,,25,
0.31,8.4,0.8,4.1,SF4,AP12_1,X,X,26,
0.08,12.2,0.8,4.8,SF4,AP12_2,X,X,27,
OMITTED:,,,,,,,,,
0,-141.4,0.92303,7.98,SF3,AP28-2,,,,*
0,17,0.76771,4.41,SF4,AP3-2,,,,*
0,35.5,0.76932,4.45,SF4,AP3-3,,,,*
0,-13.2,0.94168,6.11,SF4,AP5-1,,,,X
0,77,0.87289,5.95,SF4,AP5-2,,,,X
0,-497,0.84514,4.31,SF4,AP7-1,,,,X
0,-28.1,0.79913,6.45,SF4,AP8-1,,,,X
0,-9.2,0.97805,4.94,SF4,AP8-2,,,,X
