X38/06,err[X],Y07/06,err[Y],(C),SID
21.49,8.1,0.66,4.93,#56B4E9,SC2-1
23.88,3.6,0.66,2.7,#D55E00,SC2-2
24.18,2.8,0.67,2.35,#D55E00,SC2-2
22.09,3.4,0.68,2.44,#D55E00,SC2-2
23.16,2.6,0.68,2.69,#D55E00,SC2-2
24.84,3,0.67,2.2,#D55E00,SC2-2
24.45,3.5,0.68,2.4,#D55E00,SC2-2
23.36,3.7,0.67,2.36,#D55E00,SC2-2
23.55,2.7,0.68,2.4,#D55E00,SC2-2
23.25,2.9,0.66,2.18,#D55E00,SC2-2
23.04,4.7,0.69,2.73,#D55E00,SC2-2
24.37,8.3,0.65,12.09,#E69F00,SC3-1
28.18,4.7,0.7,9.72,#E69F00,SC3-1
24.82,11.2,0.7,9.51,#E69F00,SC3-1
25.41,6.6,0.63,8.72,#E69F00,SC3-1
19.51,10.8,0.61,10.06,#E69F00,SC3-1
24.44,7.3,0.59,11.6,#E69F00,SC3-1
14.36,7.3,0.68,5.82,#E69F00,SC3-1
26.27,11,0.7,7,#E69F00,SC3-1
30.51,7.8,0.69,8.22,#E69F00,SC3-1
31.07,7.8,0.7,11.08,#E69F00,SC3-1
28.76,8.6,0.69,7.14,#E69F00,SC3-1
27.73,7.5,0.71,6.83,#E69F00,SC3-1
28.97,7.3,0.68,6.67,#E69F00,SC3-1
28.47,9.1,0.68,6.31,#E69F00,SC3-1
27.49,8.1,0.66,4.62,#E69F00,SC3-1
28.76,7.1,0.68,10.67,#E69F00,SC3-1
28.61,8.6,0.68,7.44,#E69F00,SC3-1
28.51,6,0.66,5,#E69F00,SC3-1
5.29,4.8,0.8,6.35,#E69F00,SC3-1
5.96,5.3,0.78,4.6,#E69F00,SC3-1
5.24,5,0.78,4.95,#E69F00,SC3-1
5.71,6.7,0.78,5.17,#E69F00,SC3-1
5.15,4.4,0.81,4.16,#E69F00,SC3-1
6.4,5.2,0.78,4.85,#E69F00,SC3-1
9.79,8.4,0.67,6.23,#E69F00,SC3-1
23.53,3.1,0.6,3.94,#E69F00,SC3-1
23.32,4.3,0.63,4.2,#E69F00,SC3-1
40.7,2.9,0.56,2.34,#009E73,SC3-3
42.99,4.9,0.64,3.22,#009E73,SC3-3
58.86,4.1,0.58,2.37,#009E73,SC3-3
49.11,3.8,0.67,2.94,#009E73,SC3-3
80.2,2.3,0.59,2.97,#009E73,SC3-3
45.47,2.6,0.67,2.71,#009E73,SC3-3
72.4,2.7,0.61,2.21,#009E73,SC3-3
21.52,1.8,0.69,1.68,#009E73,SC3-3
20.21,2.1,0.68,2.11,#009E73,SC3-3
20.66,2.3,0.68,2.2,#009E73,SC3-3
19.99,2.7,0.67,2.24,#009E73,SC3-3
20.51,2.8,0.68,3.08,#009E73,SC3-3
28.96,4.2,0.63,4.06,#009E73,SC3-3
24.52,3.5,0.65,3.47,#009E73,SC3-3
19.64,2.7,0.71,2.99,#009E73,SC3-3
24.93,4.7,0.65,6.23,#009E73,SC3-3
11.85,4.2,0.75,1.73,#009E73,SC3-3
12.4,2,0.74,1.88,#009E73,SC3-3
